Index,Sentence,Weight
0,Christmas Day is one of the most favorite American holidays It is celebrated on December 25.,0.31640975222045575
1,Christmas is a Christian holiday marking the birth of the Christ Child.,0.2823596475985548
2,"Decorating houses and yards with lights, putting up Christmas trees, giving gifts, and sending greeting cards have become traditions even for many non-Christian Americans ""here also a tradition to place a decorated Christmas tree in the White House, the official home in Washington D.C. of the President of the USA.",0.6899687381957916
3,The tradition of placing a decorated tree in the White House began in 1889 on Christmas morning during the Presidency of Benjamin Harrison.,1.0
4,"The Presidentג€™s grandchildren young Benjamin and Mary McKee, led the Harrison household into the second floor Oval Room to take a look at the first White House Christmas tree.",0.6570801218194472
5,It was lit with candles.,0.0
6,Filled stockings hung from the mantel.,0.0326111142813046
7,"Presents, candy and nuts were distributed to family and staff.",0.13323997125933804
8,President Harrison gave turkeys and gloves to his employees.,0.2371594249362735
9,"He received a silver-dollar-shaped picture holder from his daughter, Mame Harrison McKee.",0.12737674919166514
10,What began as a family gathering has become a national tradition.,0.3055555214240698
11,"Over the years, the White House Christmas tree has reflected both the times and the tastes of the First Family.",0.8395226679518357
12,"First Lady Frances Cleveland created a ""technology savvy"" tree in 1895 when she hung electric lights on the White House tree.",0.6258782139588167
13,First Lady Jacqueline Kennedy began the tradition of Christmas Tree themes when she decorated the 1961 Christmas tree in toy trimmings from the Nutcracker Suite ballet by Tchaikovsky.,0.6062274265703972
14,"Today, the First Lady selects a theme and taps the talents of American artisans, who give life to the idea.",0.24773305667144196
15,"Laura Bush chose ""Home for the Holidays"" for the 2001 theme, which features replicas of the family homes of the nationג€™s Presidents.",0.3812251672041987
16,"The Presidents Christmas tree can be viewed by anyone either in the news programs, or on the official web site of the White House.",0.6695295650725556
